CIDR,Starting IP,Ending IP
2.219.108.0/22,2.219.108.0,2.219.111.255
2.219.116.0/22,2.219.116.0,2.219.119.255
2.219.120.0/21,2.219.120.0,2.219.127.255
2.219.132.0/22,2.219.132.0,2.219.135.255
2.219.136.0/21,2.219.136.0,2.219.143.255
2.219.144.0/20,2.219.144.0,2.219.159.255
2.219.160.0/22,2.219.160.0,2.219.163.255
2.219.168.0/21,2.219.168.0,2.219.175.255
2.219.176.0/21,2.219.176.0,2.219.183.255
2.219.188.0/22,2.219.188.0,2.219.191.255
2.219.192.0/18,2.219.192.0,2.219.255.255
2.220.0.0/18,2.220.0.0,2.220.63.255
2.220.64.0/20,2.220.64.0,2.220.79.255
2.220.80.0/21,2.220.80.0,2.220.87.255
2.220.88.0/22,2.220.88.0,2.220.91.255
2.220.96.0/19,2.220.96.0,2.220.127.255
2.220.132.0/22,2.220.132.0,2.220.135.255
2.220.136.0/21,2.220.136.0,2.220.143.255
2.220.144.0/20,2.220.144.0,2.220.159.255
2.220.164.0/22,2.220.164.0,2.220.167.255
2.220.168.0/21,2.220.168.0,2.220.175.255
2.220.176.0/20,2.220.176.0,2.220.191.255
2.220.192.0/22,2.220.192.0,2.220.195.255
2.220.200.0/21,2.220.200.0,2.220.207.255
2.220.208.0/20,2.220.208.0,2.220.223.255
2.220.224.0/19,2.220.224.0,2.220.255.255
2.221.0.0/20,2.221.0.0,2.221.15.255
2.221.16.0/22,2.221.16.0,2.221.19.255
2.221.24.0/21,2.221.24.0,2.221.31.255
2.221.32.0/19,2.221.32.0,2.221.63.255
2.221.64.0/21,2.221.64.0,2.221.71.255
2.221.72.0/22,2.221.72.0,2.221.75.255
2.221.80.0/20,2.221.80.0,2.221.95.255
2.221.96.0/22,2.221.96.0,2.221.99.255
2.221.104.0/21,2.221.104.0,2.221.111.255
2.221.112.0/20,2.221.112.0,2.221.127.255
2.221.128.0/20,2.221.128.0,2.221.143.255
2.221.144.0/21,2.221.144.0,2.221.151.255
2.221.156.0/22,2.221.156.0,2.221.159.255
2.221.160.0/19,2.221.160.0,2.221.191.255
2.221.192.0/19,2.221.192.0,2.221.223.255
2.221.224.0/21,2.221.224.0,2.221.231.255
2.221.236.0/22,2.221.236.0,2.221.239.255
2.221.240.0/20,2.221.240.0,2.221.255.255
2.222.0.0/21,2.222.0.0,2.222.7.255
